Title,Title_link,name,index,count,mark-neww,Price
AMD Ryzen Threadripper 1950X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1950X&id=3058,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+Threadripper+1950X&id=3058,(49.9%),54.2,"27,053",$499.48
Intel Celeron G4930 @ 3.20GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+G4930+%40+3.20GHz&id=3557,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Celeron+G4930+%40+3.20GHz&id=3557,(49.4%),53.7,"2,575",$47.99
Intel Pentium Gold G5400 @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Pentium+Gold+G5400+%40+3.70GHz&id=3248,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Pentium+Gold+G5400+%40+3.70GHz&id=3248,(48.9%),53.1,"3,718",$69.99
AMD Ryzen 3 1300X,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1300X&id=3057,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+3+1300X&id=3057,(48.9%),53.1,"6,902",$129.99
AMD Ryzen 9 3900,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900&id=3575,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+3900&id=3575,(48.1%),52.2,"30,861",$591.00
Intel Core i5-9500F @ 3.00GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500F+%40+3.00GHz&id=3511,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i5-9500F+%40+3.00GHz&id=3511,(48.0%),52.1,"10,269",$197.10
Intel Core i7-11700KF @ 3.60GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700KF+%40+3.60GHz&id=4234,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-11700KF+%40+3.60GHz&id=4234,(47.9%),52.0,"23,931",$459.99
AMD Ryzen 7 PRO 4750G,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4750G&id=3789,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+7+PRO+4750G&id=3789,(47.7%),51.8,"20,721",$399.99
Intel Core i9-10900K @ 3.70GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900K+%40+3.70GHz&id=3730,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-10900K+%40+3.70GHz&id=3730,(47.5%),51.6,"23,969",$464.49
Intel Core i7-9700F @ 3.00GHz,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700F+%40+3.00GHz&id=3465,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-9700F+%40+3.00GHz&id=3465,(46.3%),50.3,"13,572",$269.99
